"scientific.name","common.name","observed.on","location","listing.status","latitude","longitude","url","preserve","polygonloc"
"Nycticorax nycticorax","black-crowned night heron",2026-08-06,"Gulf of Maine, Eastport, ME, US","state endangered",44.9066466667,-66.9839166667,"https://www.inaturalist.org/observations/388915022","Treat Island Preserve","buffer"
"Nycticorax nycticorax","black-crowned night heron",2026-08-06,"Gulf of Maine, Eastport, ME, US","state endangered",44.9066466667,-66.9839166667,"https://www.inaturalist.org/observations/388915022","Treat Island Preserve","buffer"
"Nycticorax nycticorax","black-crowned night heron",2026-08-06,"Gulf of Maine, Eastport, ME, US","state endangered",44.9066466667,-66.9839166667,"https://www.inaturalist.org/observations/388915022","Matthews Island","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Eastern Knubble Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Eastern Knubble Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
"Alca torda","razorbill",2026-08-08,"Washington, Maine, United States","state threatened",44.652228055,-67.196005,"https://www.inaturalist.org/observations/390193287","Western Head Preserve","buffer"
